,BSOFT.NS,COFORGE.NS,CYIENT.NS,HAPPSTMNDS.NS,HCLTECH.NS,INFY.NS,INTELLECT.NS,KPITTECH.NS,LTIMINDTREE.NS,LTTS.NS,MASTEK.NS,MPHASIS.NS,OFSS.NS,PERSISTENT.NS,SONATSOFTW.NS,TATAELXSI.NS,TCS.NS,TECHM.NS,WIPRO.NS,ZENSARTECH.NS,^CNXIT
2024-03-21,720.163818359375,1117.258056640625,1908.432373046875,765.7471923828125,1456.985107421875,1463.7264404296875,1083.9415283203125,1342.4775390625,,5273.3076171875,2607.962646484375,2338.582275390625,7562.8798828125,4054.447998046875,728.5,7545.015625,3676.031494140625,1213.1065673828125,234.5610809326172,574.922119140625,36026.80078125
2024-03-22,712.3184814453125,1084.631591796875,1885.5709228515625,763.733642578125,1422.3360595703125,1420.559326171875,1087.4095458984375,1369.6591796875,,5188.61474609375,2589.093994140625,2293.045654296875,7534.7783203125,3939.08837890625,722.1784057617188,7506.08984375,3618.618408203125,1194.097900390625,228.30392456054688,574.0468139648438,35188.3984375
2024-03-26,725.9624633789062,1086.041015625,1864.9671630859375,751.8985595703125,1426.3536376953125,1405.307373046875,1090.6298828125,1411.9637451171875,,5236.4443359375,2525.8525390625,2281.529541015625,7881.30419921875,3990.183837890625,727.0897827148438,7534.24365234375,3587.715087890625,1186.248291015625,224.90585327148438,583.820068359375,34969.1015625
2024-03-27,741.1171264648438,1086.4229736328125,1866.2158203125,738.5902099609375,1411.6995849609375,1397.022216796875,1117.4324951171875,1464.844482421875,,5262.484375,2471.456787109375,2309.93603515625,7915.4306640625,4002.463623046875,722.810546875,7515.68603515625,3553.849853515625,1185.728271484375,221.3671417236328,590.092529296875,34744.3515625
2024-03-28,723.1361694335938,1077.260498046875,1917.60546875,731.125732421875,1409.2801513671875,1410.391357421875,1086.765625,1469.1934814453125,,5297.60791015625,2499.1708984375,2291.75,7890.1171875,3937.95166015625,702.5325927734375,7623.74853515625,3586.6044921875,1180.337646484375,225.0230255126953,590.0438842773438,34898.1484375
2024-04-01,742.3840942382812,1073.657958984375,1927.499267578125,782.2966918945312,1421.2862548828125,1407.943359375,1070.2679443359375,1471.516357421875,,5413.41357421875,2561.4287109375,2362.47802734375,8047.9814453125,3949.910400390625,696.502685546875,7584.724609375,3624.03173828125,1176.9805908203125,227.2962188720703,593.3016357421875,35042.80078125
2024-04-02,748.2315673828125,1087.7933349609375,1929.8526611328125,792.4130249023438,1395.356689453125,1396.0806884765625,1075.6185302734375,1494.0029296875,,5394.08837890625,2538.628662109375,2368.907958984375,7936.96923828125,3923.819091796875,710.0213623046875,7542.07763671875,3593.544189453125,1169.6513671875,225.53860473632812,585.1815795898438,34793.94921875
2024-04-03,757.295166015625,1108.6142578125,1985.56494140625,803.855224609375,1402.25,1394.0096435546875,1087.0628662109375,1488.220703125,,5562.4091796875,2574.6962890625,2384.022705078125,7947.84912109375,3926.43798828125,725.5823974609375,7832.08837890625,3652.29833984375,1187.005126953125,226.4759979248047,602.2969360351562,35047.3984375
2024-04-04,759.4879150390625,1139.3221435546875,2078.882568359375,807.0963745117188,1405.7193603515625,1399.7054443359375,1104.5513916015625,1492.6685791015625,,5632.26904296875,2645.307861328125,2413.0048828125,7908.05712890625,3982.3759765625,729.1322631835938,7861.07421875,3704.113525390625,1209.7965087890625,228.4445343017578,609.9794311523438,35426.69921875
2024-04-05,730.1044311523438,1132.1666259765625,2078.9306640625,809.6500854492188,1410.832275390625,1392.5501708984375,1070.1689453125,1494.0029296875,,5610.47998046875,2603.736572265625,2409.3583984375,7891.33154296875,3950.009033203125,721.692138671875,7874.8330078125,3681.860595703125,1194.8070068359375,227.34307861328125,615.5711669921875,35247.8984375
2024-04-08,713.3904418945312,1112.4515380859375,2019.712646484375,802.0873413085938,1406.0845947265625,1390.29052734375,1036.7276611328125,1476.2608642578125,,5509.02392578125,2569.585693359375,2355.232421875,7700.375,3858.146484375,739.5873413085938,7758.20263671875,3675.6611328125,1196.4619140625,224.9292755126953,598.309814453125,35064.1484375
2024-04-09,710.1743774414062,1118.21728515625,1997.7159423828125,806.9490966796875,1406.4954833984375,1407.3785400390625,1020.5767822265625,1480.1650390625,,5441.6279296875,2602.999755859375,2358.20751953125,7545.07470703125,3910.57568359375,737.7393798828125,7736.2666015625,3651.6044921875,1183.4586181640625,223.0076141357422,589.7521362304688,35079.3515625
2024-04-10,720.017578125,1116.4161376953125,2018.464111328125,804.2481689453125,1405.262939453125,1418.62939453125,999.1743774414062,1473.04833984375,,5457.23291015625,2588.55322265625,2346.595458984375,7491.3447265625,3912.45361328125,717.5101318359375,7684.07177734375,3686.856689453125,1197.5496826171875,223.7106475830078,594.2255249023438,35293.1484375
2024-04-12,713.6828002929688,1099.5400390625,2006.552734375,807.2929077148438,1389.148193359375,1397.86962890625,987.2841796875,1457.6783447265625,,5460.1318359375,2569.684326171875,2347.507080078125,7377.63427734375,3931.42919921875,707.2981567382812,7593.0,3702.35498046875,1174.6634521484375,220.64068603515625,591.8916015625,35018.1015625
2024-04-15,689.2696533203125,1056.458984375,1990.1275634765625,786.7655029296875,1374.129150390625,1382.2410888671875,1013.0463256835938,1411.76611328125,,5278.1865234375,2546.14697265625,2297.748291015625,7245.7587890625,3906.52392578125,694.16845703125,7369.7265625,3646.654541015625,1152.5811767578125,215.2974853515625,574.8734741210938,34463.6015625
2024-04-16,690.0980834960938,1019.9855346679688,1959.00537109375,798.5515747070312,1348.7930908203125,1331.6832275390625,1030.9310302734375,1394.419189453125,,5137.4521484375,2538.08837890625,2214.92822265625,7066.67333984375,3813.12890625,680.7957153320312,7373.88818359375,3583.365966796875,1130.8773193359375,210.14178466796875,574.8247680664062,33574.94921875
2024-04-18,680.6446533203125,1019.398193359375,1933.5506591796875,794.4755859375,1339.252197265625,1336.202392578125,1002.0478515625,1381.42138671875,,5099.47900390625,2745.9921875,2242.23095703125,6947.5673828125,3798.946533203125,662.9005126953125,7337.99853515625,3573.37353515625,1115.6041259765625,208.26699829101562,563.3982543945312,33498.6484375
2024-04-19,664.3692016601562,1002.0228271484375,1893.78369140625,797.864013671875,1321.585205078125,1328.67041015625,990.603515625,1392.986083984375,,5055.51416015625,2653.02294921875,2188.34521484375,6836.77978515625,3839.26953125,653.612548828125,7296.5263671875,3540.2490234375,1128.8441162109375,212.20407104492188,559.605712890625,33368.30078125
2024-04-22,642.9285278320312,998.479248046875,1861.8931884765625,794.9175415039062,1338.3846435546875,1348.912353515625,989.4144897460938,1362.69091796875,,5012.37109375,2604.572265625,2147.079345703125,6779.0029296875,3467.468994140625,650.6948852539062,7282.4736328125,3575.779541015625,1142.4622802734375,216.53953552246094,557.5148315429688,33538.80078125
2024-04-23,636.8861083984375,1021.4049072265625,1828.85009765625,796.6853637695312,1357.329833984375,1357.997802734375,985.4014892578125,1357.798095703125,,5039.86181640625,2642.7529296875,2153.0771484375,6606.5712890625,3487.77880859375,642.5739135742188,7241.88330078125,3585.124267578125,1135.08544921875,216.58641052246094,555.8616943359375,33714.55078125
2024-04-24,641.7103271484375,1016.6082763671875,1816.5069580078125,804.444580078125,1350.573486328125,1347.0294189453125,1019.2390747070312,1355.3270263671875,,5068.1728515625,2727.123046875,2153.029052734375,6617.4072265625,3425.861328125,653.2720947265625,6884.4013671875,3544.736328125,1121.32568359375,215.55526733398438,565.051513671875,33442.55078125
2024-04-25,643.1721801757812,1020.1029052734375,1839.4161376953125,805.2302856445312,1373.3074951171875,1354.27880859375,1039.749755859375,1358.045166015625,,5007.92626953125,2688.8935546875,2139.40185546875,6423.3935546875,3390.233154296875,654.1473999023438,6946.82958984375,3564.3056640625,1125.6759033203125,216.07086181640625,558.8764038085938,33554.44921875
2024-04-26,657.0111694335938,1028.0318603515625,1811.4161376953125,802.8731079101562,1345.64306640625,1346.5587158203125,1031.9715576171875,1400.05322265625,,4616.83740234375,2729.284912109375,2205.427490234375,6735.92919921875,3357.717529296875,662.3656005859375,6956.4267578125,3535.761474609375,1209.3236083984375,217.75816345214844,603.658447265625,33666.25
2024-04-29,657.547119140625,1014.9539794921875,1769.055419921875,799.779296875,1266.71337890625,1350.7952880859375,1083.198486328125,1491.037841796875,,4555.33544921875,2653.808837890625,2246.45361328125,6700.90283203125,3334.344482421875,675.1548461914062,6955.34912109375,3580.960693359375,1218.355224609375,216.9848175048828,595.3925170898438,33579.3984375
2024-04-30,633.5725708007812,999.105712890625,1735.2440185546875,799.9757690429688,1247.722412109375,1337.42626953125,1069.87158203125,1476.903076171875,,4483.54345703125,2647.175048828125,2221.501953125,6833.09228515625,3329.205322265625,672.1885986328125,6905.7001953125,3535.11376953125,1194.901611328125,216.72703552246094,596.3649291992188,33200.94921875
