week,trends_raw,ticker,trends_zscore,trends_velocity,trends_spike
2025-11-01,64,PERSISTENT.NS,-1.0192372151650266,-12.0,0
2025-12-01,64,PERSISTENT.NS,-0.8632396292182591,0.0,0
2026-01-01,65,PERSISTENT.NS,-0.6855551586986537,1.0,0
2026-02-01,99,PERSISTENT.NS,1.9182129328357114,34.0,1
2026-03-01,64,PERSISTENT.NS,-0.7052839017342774,-35.0,0
2026-04-01,76,PERSISTENT.NS,0.4189652907591869,12.0,0
2026-05-01,60,PERSISTENT.NS,-0.9486664538959673,-16.0,0
2021-01-01,54,TCS.NS,,,0
2021-02-01,42,TCS.NS,,-12.0,0
2021-03-01,37,TCS.NS,,-5.0,0
2021-04-01,42,TCS.NS,-0.2421000623196333,5.0,0
2021-05-01,33,TCS.NS,-1.0895682209969284,-9.0,0
2021-06-01,37,TCS.NS,-0.5247368295586067,4.0,0
2021-07-01,39,TCS.NS,-0.2343787832274857,2.0,0
2021-08-01,36,TCS.NS,-0.6236095643651012,-3.0,0
2021-09-01,42,TCS.NS,0.2944840694841437,6.0,0
2021-10-01,62,TCS.NS,2.193785512858588,20.0,1
2021-11-01,44,TCS.NS,0.17133331558491358,-18.0,0
2021-12-01,43,TCS.NS,0.051468625205406494,-1.0,0
2022-01-01,75,TCS.NS,2.5390455935810343,32.0,1
2022-02-01,100,TCS.NS,2.536579392672166,25.0,1
2022-03-01,70,TCS.NS,0.8830535195703796,-30.0,0
2022-04-01,57,TCS.NS,0.18907044941251192,-13.0,0
2022-05-01,50,TCS.NS,-0.23737627688445892,-7.0,0
2022-06-01,46,TCS.NS,-0.4983270792178552,-4.0,0
2022-07-01,54,TCS.NS,-0.14329922084739097,8.0,0
2022-08-01,41,TCS.NS,-0.911146903166954,-13.0,0
2022-09-01,54,TCS.NS,-0.23585120337302673,13.0,0
2022-10-01,42,TCS.NS,-0.818814717819295,-12.0,0
2022-11-01,38,TCS.NS,-0.9924594473438738,-4.0,0
2022-12-01,36,TCS.NS,-1.0389549277149797,-2.0,0
2023-01-01,41,TCS.NS,-0.6406805672732221,5.0,0
2023-02-01,38,TCS.NS,-0.9182423932588423,-3.0,0
2023-03-01,33,TCS.NS,-1.4123128423016582,-5.0,0
2023-04-01,33,TCS.NS,-1.2415174477425654,0.0,0
2023-05-01,26,TCS.NS,-1.713765406701892,-7.0,0
2023-06-01,33,TCS.NS,-0.7343252296764169,7.0,0
2023-07-01,40,TCS.NS,0.30390989295704346,7.0,0
2023-08-01,28,TCS.NS,-1.204432346211152,-12.0,0
2023-09-01,28,TCS.NS,-1.2386162250055177,0.0,0
2023-10-01,35,TCS.NS,0.18821614359738809,7.0,0
2023-11-01,35,TCS.NS,0.2468709654982679,0.0,0
2023-12-01,41,TCS.NS,1.3140563859188759,6.0,0
2024-01-01,40,TCS.NS,1.161050909800959,-1.0,0
2024-02-01,32,TCS.NS,-0.33977816631427443,-8.0,0
2024-03-01,27,TCS.NS,-1.169830056998851,-5.0,0
2024-04-01,26,TCS.NS,-1.1622675253093848,-1.0,0
2024-05-01,20,TCS.NS,-1.8586411195786756,-6.0,0
2024-06-01,20,TCS.NS,-1.4943966929511265,0.0,0
2024-07-01,32,TCS.NS,0.24461119925056185,12.0,0
2024-08-01,24,TCS.NS,-0.853194688370454,-8.0,0
2024-09-01,22,TCS.NS,-1.0146596027921853,-2.0,0
2024-10-01,28,TCS.NS,-0.12746279963246138,6.0,0
2024-11-01,20,TCS.NS,-1.0444740944302853,-8.0,0
2024-12-01,17,TCS.NS,-1.3110716693881885,-3.0,0
2025-01-01,24,TCS.NS,-0.06900655591994859,7.0,0
2025-02-01,20,TCS.NS,-0.7727722699896091,-4.0,0
2025-03-01,19,TCS.NS,-0.8500494969885702,-1.0,0
2025-04-01,23,TCS.NS,0.13929266956630837,4.0,0
2025-05-01,16,TCS.NS,-1.3393829275842566,-7.0,0
2025-06-01,17,TCS.NS,-1.0186132250317415,1.0,0
2025-07-01,29,TCS.NS,1.7618974020684055,12.0,1
2025-08-01,26,TCS.NS,0.9767710234310183,-3.0,0
2025-09-01,28,TCS.NS,1.2202446184038749,2.0,0
2025-10-01,29,TCS.NS,1.3801311183989757,1.0,0
2025-11-01,21,TCS.NS,-0.29544408065842187,-8.0,0
2025-12-01,21,TCS.NS,-0.38758607479347096,0.0,0
2026-01-01,19,TCS.NS,-0.7216878363307713,-2.0,0
2026-02-01,38,TCS.NS,2.2206833627534563,19.0,1
2026-03-01,28,TCS.NS,0.54337033889595,-10.0,0
2026-04-01,24,TCS.NS,-0.10629880067359698,-4.0,0
2026-05-01,18,TCS.NS,-1.1308266965178064,-6.0,0
